,country,2014,2015,2016,2017,2018,2019,iso3
70,India,881,2461,4193,5197,13721,9061,IND
71,Indonesia,16,102,165,289,630,507,IDN
72,Iran,33,264,372,507,0,738,IRN
73,Iraq,0,3,7,11,42,39,IRQ
74,Ireland,53,0,0,345,554,501,IRL
75,Israel,117,192,439,575,1003,952,ISR
76,Italy,125,506,1137,781,1535,1576,ITA
77,Jamaica,0,5,12,20,20,28,JAM
78,Japan,20,63,167,248,361,391,JPN
79,Jordan,7,18,43,43,83,65,JOR
80,Kazakhstan,6,23,39,34,107,64,KAZ
81,Kenya,1,20,58,95,194,249,KEN
82,Kuwait,2,3,4,12,23,20,KWT
83,Kyrgyzstan,0,7,10,11,22,19,KGZ
84,Lao People's Democratic Republic,0,0,0,0,0,3,LAO
85,Latvia,9,63,71,98,145,136,LVA
86,Lebanon,9,21,38,56,107,120,LBN
87,Lesotho,0,0,0,1,2,3,LSO
88,Liberia,0,0,0,0,3,2,LBR
89,Libyan Arab Jamahiriya,0,0,0,0,14,10,LBY
90,Liechtenstein,0,1,3,6,5,3,LIE
91,Lithuania,28,75,166,176,257,248,LTU
92,Luxembourg,2,9,28,33,59,61,LUX
93,Madagascar,0,4,6,8,19,15,MDG
94,Malawi,0,0,2,2,9,2,MWI
95,Malaysia,18,70,140,192,363,299,MYS
96,Maldives,0,4,4,0,10,13,MDV
97,Mali,0,0,0,1,1,3,MLI
98,Malta,4,17,37,46,66,65,MLT
99,Mauritania,0,1,1,0,3,7,MRT
100,Mauritius,0,5,8,17,35,26,MUS
101,Mexico,34,179,444,351,736,642,MEX
102,Monaco,0,0,1,1,4,4,MCO
103,Mongolia,0,6,16,22,21,17,MNG
104,Montenegro,0,3,4,12,15,17,MNE
105,Morocco,6,22,55,63,213,155,MAR
106,Mozambique,0,1,1,8,21,7,MOZ
107,Myanmar,0,0,0,35,55,52,MMR
108,Namibia,0,2,3,4,6,5,NAM
109,Nepal,6,29,66,125,295,237,NPL
110,Netherlands,154,614,1188,855,1841,1852,NLD
111,New Zealand,46,160,358,252,557,524,NZL
112,Nicaragua,0,8,6,14,31,30,NIC
113,Niger,0,0,1,3,2,1,NER
114,Nigeria,1,19,52,171,399,522,NGA
115,North Korea,0,0,0,6,4,1,PRK
116,Norway,41,163,362,259,565,574,NOR
117,Oman,0,2,1,5,20,11,OMN
118,Other Country (Not Listed Above),0,0,0,0,84,136,not found
119,Pakistan,48,121,337,454,1050,923,PAK
120,Panama,0,7,13,22,32,33,PAN
121,Papua New Guinea,0,0,0,0,0,1,PNG
122,Paraguay,0,7,16,22,49,52,PRY
123,Peru,11,31,49,65,128,130,PER
124,Philippines,27,97,198,328,520,381,PHL
125,Poland,131,833,1971,1290,2122,1922,POL
126,Portugal,27,224,496,271,528,525,PRT
127,Qatar,0,8,14,11,23,13,QAT
128,Republic of Korea,0,0,0,0,62,39,KOR
129,Republic of Moldova,0,0,0,0,76,43,MDA
130,Romania,63,185,942,561,793,760,ROU
131,Russian Federation,0,650,1419,873,2869,1694,RUS
132,Rwanda,0,1,1,12,18,12,RWA
133,Saint Kitts and Nevis,0,0,0,0,0,1,KNA
134,Saint Vincent and the Grenadines,0,0,0,0,0,1,VCT
135,San Marino,0,1,1,0,1,2,SMR
136,Sao Tome and Principe,0,0,0,0,0,1,STP
137,Saudi Arabia,8,27,34,52,130,98,SAU
138,Senegal,0,1,0,5,13,21,SEN
139,Serbia,15,101,174,228,358,402,SRB
140,Seychelles,0,0,1,1,0,2,SYC
141,Sierra Leone,0,1,1,0,1,2,SLE
142,Singapore,38,70,185,177,376,303,SGP
143,Slovakia,13,68,135,0,238,260,SVK
144,Slovenia,27,80,172,303,238,298,SVN
145,Somalia,0,2,1,5,10,13,SOM
146,South Africa,41,128,479,380,637,627,ZAF
147,South Korea,9,0,0,164,169,160,KOR
148,Spain,97,605,1026,864,1769,1604,ESP
149,Sri Lanka,35,61,126,170,454,372,LKA
150,Sudan,0,4,10,12,25,42,SDN
151,Swaziland,0,3,0,3,3,8,SWZ
152,Sweden,99,540,1328,611,1164,1274,SWE
153,Switzerland,83,393,574,595,1010,978,CHE
154,Syrian Arab Republic,0,0,0,0,56,29,SYR
155,Taiwan,19,55,76,91,207,187,TWN
156,Tajikistan,0,1,1,0,4,7,TJK
157,Thailand,14,58,77,119,213,214,THA
158,The former Yugoslav Republic of Macedonia,0,0,0,0,54,54,MKD
159,Timor-Leste,0,0,0,0,1,1,TLS
160,Togo,0,1,1,7,5,4,TGO
161,Tonga,0,0,0,0,0,1,TON
162,Trinidad and Tobago,0,0,0,15,20,19,TTO
163,Tunisia,8,22,48,56,163,130,TUN
164,Turkey,68,220,445,363,1004,949,TUR
165,Turkmenistan,0,2,0,1,6,7,TKM
166,Uganda,0,5,14,28,67,72,UGA
167,Ukraine,69,222,802,356,1279,868,UKR
168,United Arab Emirates,16,44,67,98,193,158,ARE
169,United Kingdom,721,2403,4573,4395,6221,5737,GBR
170,United Republic of Tanzania,0,0,0,0,49,32,TZA
171,United States,2128,4745,13539,11455,20309,20949,USA
172,Uruguay,6,47,47,78,102,111,URY
173,Uzbekistan,0,7,18,28,56,39,UZB
174,"Venezuela, Bolivarian Republic of...",0,0,0,0,123,88,VEN
175,Viet Nam,0,0,0,0,331,231,VNM
176,Yemen,0,0,3,3,13,19,YEM
177,Zambia,0,1,2,10,9,12,ZMB
178,Zimbabwe,0,5,9,20,39,39,ZWE
